كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0087,ضعف ضغط وقود (GDI),طلمبة ضغط عالي,"15,000 - 35,000",2.5,"2,500 - 5,000",إي-زي بارتس,,,,,,
P0401,لمبة أعطال (ديزل),صمام EGR (انسداد),---,2,"1,500 - 3,000",إي-زي بارتس,,,,,,
P0302,حريق اسطوانة 2,بوجيه / رشاش,"1,800 - 3,500",1,500 - 900,إي-زي بارتس,,,,,,
P0722,عداد السرعة يرقص,حساس مخرج الفتيس,"2,200 - 4,500",1,"600 - 1,100",إي-زي بارتس,,,,,,
P0136,عطل حساس شكمان 2,حساس خلفي (بيئة),"3,200 - 6,000",1,500 - 900,إي-زي بارتس,,,,,,
P0125,مروحة التبريد تعمل فوراً,حساس حرارة (تالف),"700 - 1,800",0.5,300 - 600,إي-زي بارتس,,,,,,
P0455,لمبة تشيك (تسريب بخار),غطاء تانك البنزين,400 - 900,0.1,100 - 200,إي-زي بارتس,,,,,,
P2101,لمبة تشيك (خنق محرك),بوابة كهرباء,"7,000 - 16,000",1,"800 - 1,500",إي-زي بارتس,,,,,,
Mechanical,تسريب زيت ميكانيكي,جوان كارتيرة موتور,"600 - 1,500",2,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0300,غيبوبة حريق عشوائية,طقم بوجيهات (4 شمعة),"950 - 2,200",1,300 - 500,توفيقية,,,,,,
P0115,عطل حساس حرارة المحرك,حساس حرارة المياه,"450 - 1,100",0.5,200 - 400,توفيقية,,,,,,
P0340,عطل حساس الكامشة,حساس كامة,"1,500 - 2,800",1,400 - 600,توفيقية,,,,,,
P0500,عطل حساس السرعة,حساس VSS,"900 - 1,800",1,300 - 500,توفيقية,,,,,,
P0113,ارتفاع قراءة حساس هواء الدخول,حساس IAT (مدمج بالماف),"2,000 - 4,500",0.5,200 - 350,توفيقية,,,,,,
P0117,انخفاض جهد حساس الحرارة,حساس مياه (Coolant),400 - 900,0.8,200 - 350,توفيقية,,,,,,
P0507,سرعة الأيدل أعلى من الطبيعي,تنظيف بوابة / جوان,400 (منظف),1,300 - 500,توفيقية,,,,,,
P0031,عطل سخان حساس الأكسجين,حساس شكمان (Upstream),"2,900 - 4,600",1,300 - 500,توفيقية,,,,,,
P0562,انخفاض جهد النظام,بطارية / دينامو,"4,000 - 12,000",1,300 - 600,توفيقية,,,,,,
P0010,عطل مغناطيس الكامة,صمام VVT Solenoid,"2,200 - 4,500",1,300 - 500,توفيقية,,,,,,
P0302,ميس فاير (اسطوانة 2),بوجيه / مبينة,"1,200 - 2,500",0.5,150 - 300,توفيقية,,,,,,
P0134,عدم استجابة حساس الشكمان,حساس أوكسجين,"2,900 - 4,800",1,300 - 600,توفيقية,,,,,,
P0502,انخفاض إشارة حساس السرعة,حساس VSS,"900 - 1,800",1,300 - 500,توفيقية,,,,,,
P0132,جهد مرتفع حساس شكمان 1,حساس شكمان,"2,800 - 4,800",1,300 - 500,توفيقية,,,,,,
P0030,عطل سخان حساس الشكمان,حساس أوكسجين (Front),"2,900 - 5,200",1,300 - 500,توفيقية,,,,,,
P0108,ارتفاع دخل حساس الماب,حساس MAP,"1,300 - 2,900",0.5,200 - 400,توفيقية,,,,,,
P0563,ارتفاع جهد النظام,منظم دينامو / كتاوت,"1,500 - 4,000",1.5,400 - 700,توفيقية,,,,,,
P0353,عطل ملف الإشعال (C),موبينة اسطوانة 3,"1,300 - 3,200",0.5,150 - 300,توفيقية,,,,,,
P0231,جهد منخفض طلمبة البنزين,ريلاي طلمبة / فيوز,300 - 800,0.5,150 - 300,توفيقية,,,,,,
P0116,أداء حساس حرارة المياه,ثرموستات / حساس,"600 - 1,500",1,300 - 500,توفيقية,,,,,,
P0107,انخفاض دخل حساس الماب,حساس MAP,"1,200 - 2,600",0.5,200 - 350,توفيقية,,,,,,
P0503,إشارة حساس سرعة متقطعة,حساس سرعة (VSS),"900 - 2,000",1,300 - 600,توفيقية,,,,,,
P0190,عطل حساس ضغط المسطرة,حساس ضغط Rail,"2,800 - 5,500",1,400 - 700,توفيقية,,,,,,
P0520,عطل حساس ضغط الزيت,حساس ضغط زيت المحرك,"800 - 2,200",1,300 - 500,توفيقية,,,,,,
C0035,عطل حساس ABS (يسار),حساس ABS أمامى,"1,200 - 2,800",1,300 - 500,توفيقية,,,,,,
P0125,حرارة غير كافية للتحكم,ثرموستات كوعة,"900 - 2,200",1.5,400 - 700,توفيقية,,,,,,
P0021,تقديم توقيت الكامة (Bank 2),صمام VVT / زيت,"2,500 - 5,000",1,400 - 700,توفيقية,,,,,,
P0571,عطل مفتاح الفرامل,ماكينة فرامل,400 - 950,0.5,150 - 300,توفيقية,,,,,,
P0137,جهد منخفض حساس شكمان 2,حساس أوكسجين خلفي,"2,400 - 4,200",1,300 - 500,توفيقية,,,,,,
P0842,جهد منخفض حساس ضغط الزيت,حساس ضغط زيت فتيس,"2,200 - 5,000",2,"800 - 1,500",توفيقية,,,,,,
P0204,عطل دائرة الرشاش (4),رشاش وقود,"1,500 - 3,800",1.5,400 - 700,توفيقية,,,,,,
P1345,عطل توافق حساس الكامة,حساس كامة,"1,500 - 3,200",1,400 - 600,توفيقية,,,,,,
P0230,عطل دائرة طلمبة البنزين,ريلاي أو طلمبة,"3,500 - 7,000",1.5,500 - 900,توفيقية,,,,,,
P2121,مدى أداء حساس الدعسة,حساس دواسة بنزين,"3,500 - 7,500",1,400 - 700,توفيقية,,,,,,
P0733,غيار ثالث غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"3,000+",توفيقية,,,,,,
P0365,عطل حساس الكامة (B),حساس كامة خلفي,"1,800 - 3,500",1.2,400 - 700,توفيقية,,,,,,
P2237,انقطاع تيار حساس الشكمان,حساس أوكسجين,"3,200 - 5,800",1,400 - 600,توفيقية,,,,,,
P0560,عطل جهد النظام,فحص دينامو وبطارية,---,1,300 - 600,توفيقية,,,,,,
P0120,عطل حساس البوابة (A),حساس TPS,"1,300 - 2,900",0.8,300 - 500,توفيقية,,,,,,
P0530,عطل حساس ضغط التكييف,حساس فريون,"800 - 2,400",0.7,250 - 450,توفيقية,,,,,,
P0222,انخفاض دخل حساس البوابة,حساس TPS,"1,200 - 2,800",0.8,300 - 500,توفيقية,,,,,,
P0715,عطل حساس سرعة الدخل,حساس فتيس داخلي,"1,900 - 3,800",1,500 - 800,توفيقية,,,,,,
P0442,تسريب بسيط بنظام EVAP,فحص خراطيم بنزين,---,1.5,500 - 800,توفيقية,,,,,,
P2279,تسريب هواء في المانيفولد,جوان مانيفولد / بوابة,"600 - 1,800",2,"600 - 1,200",توفيقية,,,,,,
P0410,عطل نظام الهواء الثانوى,طلمبة هواء,"4,500 - 9,000",2,"700 - 1,200",توفيقية,,,,,,
P0011,تأخر توقيت الكامة (A),صمام VVT,"2,200 - 4,500",1,400 - 700,توفيقية,,,,,,
P0018,عدم توافق كرنك وكامة (B2),طقم كاتينة / بلف VVT,"5,000 - 12,000",3.5,"2,000 - 3,500",توفيقية,,,,,,
P0710,عطل حساس حرارة زيت الفتيس,حساس ATF Temp,"2,200 - 4,500",2,"800 - 1,500",توفيقية,,,,,,
P0440,عطل عام في نظام EVAP,فحص خراطيم التبخير,---,1.5,"500 - 1,000",توفيقية,,,,,,
P0001,عطل دائرة منظم وقود,منظم ضغط الوقود,"2,800 - 6,000",1.5,500 - 900,توفيقية,,,,,,
U0121,فقد الاتصال مع كنترول ABS,فيوزات / ضفيرة ABS,---,2.0+,"1,500+",توفيقية,,,,,,
P0340,عطل دائرة حساس الكامة,حساس كامة,"1,500 - 3,200",1,400 - 600,توفيقية,,,,,,
P0121,مدى أداء حساس البوابة,حساس TPS,"1,300 - 2,900",0.8,300 - 500,توفيقية,,,,,,
P0720,عطل دائرة سرعة الخرج,حساس فتيس خارجي,"1,800 - 3,600",1,400 - 700,توفيقية,,,,,,
P0101,مدى أداء حساس الماف,حساس MAF,"2,500 - 5,500",0.5,200 - 350,توفيقية,,,,,,
P0606,عطل معالج PCM/ECM,صيانة كنترول,"6,000 - 20,000",2,"1,500 - 3,000",توفيقية,,,,,,
P0113,دخل مرتفع حساس الهواء,حساس IAT,"1,200 - 2,500",0.5,200 - 350,توفيقية,,,,,,
P0507,سرعة الأيدل مرتفعة,تنظيف بوابة / جوان,400 (منظف),1,300 - 500,توفيقية,,,,,,
P0130,عطل دائرة حساس الأكسجين,حساس أوكسجين,"2,700 - 5,000",1,300 - 500,توفيقية,,,,,,
P2101,أداء موتور البوابة,بوابة كهرباء,"4,000 - 9,500",1,500 - 800,توفيقية,,,,,,
P0446,عطل تحكم تنفيس EVAP,بلف تنفيس,"1,400 - 3,200",1,400 - 700,توفيقية,,,,,,
P0016,توافق كرنك وكامة (A),طقم كاتينة,"4,500 - 12,000",3.5,"2,000 - 3,500",توفيقية,,,,,,
P0501,مدى أداء حساس السرعة,حساس VSS,"900 - 2,000",1,300 - 500,توفيقية,,,,,,
P0141,عطل سخان حساس شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,800",1,300 - 500,توفيقية,,,,,,
P0722,انعدام إشارة حساس السرعة,حساس فتيس خارجي,"1,800 - 3,500",1,400 - 700,توفيقية,,,,,,
P0171,خليط وقود فقير (1),حساس شكمان / طلمبة,"2,800 - 5,500",1,400 - 700,توفيقية,,,,,,
P0731,غيار أول غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"3,000+",توفيقية,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين,"2,800 - 5,000",1,300 - 500,توفيقية,,,,,,
P0744,إشارة متقطعة (TCC),ضفيرة فتيس / سولينويد,"2,500 - 5,000",2,"800 - 1,500",توفيقية,,,,,,
P0172,خليط وقود غني (1),حساس شكمان / رشاشات,"2,800 - 5,200",1,400 - 700,توفيقية,,,,,,
P0089,أداء منظم ضغط الوقود,منظم ضغط (Regulator),"3,500 - 6,500",1.5,"600 - 1,000",توفيقية,,,,,,
P0522,انخفاض جهد حساس الزيت,حساس ضغط زيت المحرك,"850 - 2,000",1,300 - 500,توفيقية,,,,,,
C0035,عطل حساس ABS (أيسر),حساس ABS أمامى,"1,100 - 2,600",1,300 - 500,توفيقية,,,,,,
B0001,عطل دائرة الوسادة الهوائية,شريط إيرباج (Spiral),"1,500 - 4,000",1.5,400 - 700,توفيقية,,,,,,
P050B,أداء توقيت الإشعال (بارد),تنظيف بوابة / بوجيهات,"1,200 - 3,000",1,400 - 700,توفيقية,,,,,,
P0017,عدم توافق كرنك وكامة (Ex),طقم كاتينة,"5,500 - 14,000",4,"2,500 - 4,500",توفيقية,,,,,,
P0571,عطل مفتاح الفرامل (A),ماكينة فرامل,"450 - 1,100",0.5,200 - 350,توفيقية,,,,,,
P0036,دائرة سخان حساس شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,800",1,300 - 600,توفيقية,,,,,,
P0500,عطل حساس السرعة,حساس VSS,"950 - 2,200",1,300 - 500,توفيقية,,,,,,
U0100,فقد الاتصال بالكنترول,فحص فيوزات / أرضي,---,2,"1,000 - 2,500",توفيقية,,,,,,
P0452,انخفاض ضغط الـ EVAP,حساس ضغط التانك,"1,900 - 4,000",1.5,"600 - 1,000",توفيقية,,,,,,
P0030,دائرة سخان (B1/S1),حساس أوكسجين,"2,800 - 5,000",1,400 - 600,توفيقية,,,,,,
P0601,خطأ بذاكرة الكنترول,شحن سوفت وير,"3,500 - 8,500",2,"1,500 - 3,000",توفيقية,,,,,,
C1241,انخفاض جهد بطارية (ABS),بطارية / دينامو,"4,000 - 12,000",1,300 - 600,توفيقية,,,,,,
P0507,سرعة الأيدل مرتفعة جداً,تنظيف بوابة / جوان,450 (كيماوي),1,400 - 600,توفيقية,,,,,,
B1202,عطل حساس حزام الأمان,مشبك حزام / حساس,"800 - 2,500",1,300 - 500,توفيقية,,,,,,
P0441,تدفق تطهير غير صحيح,صمام كانستر,"1,200 - 2,800",0.8,350 - 550,توفيقية,,,,,,
P2279,تسريب هواء للمحرك,جوان مانيفولد,"600 - 1,500",2,"800 - 1,400",توفيقية,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,500 - 3,500",1,400 - 700,توفيقية,,,,,,
P2401,انخفاض جهد مضخة EVAP,طلمبة كشف تسريب,"3,500 - 7,000",1.5,"700 - 1,200",توفيقية,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"1,800 - 4,000",1.5,"600 - 1,000",توفيقية,,,,,,
P0031,جهد منخفض سخان (B1),حساس أوكسجين,"2,800 - 4,800",1,300 - 500,توفيقية,,,,,,
P0715,عطل حساس سرعة الدخل,حساس فتيس داخلي,"2,000 - 4,000",1,500 - 800,توفيقية,,,,,,
P0336,مدى أداء حساس الكرنك,حساس كرنك,"1,200 - 2,800",1.5,"600 - 1,000",توفيقية,,,,,,
P1250,عطل منظم ضغط الوقود,بلف ضغط المسطرة,"2,500 - 5,000",1,500 - 800,توفيقية,,,,,,
P0300,ميس فاير عشوائي,بوجيهات / موبينات,"1,000 - 2,800",1,400 - 700,توفيقية,,,,,,
P2196,إشارة شكمان غنية (1/1),حساس أوكسجين,"3,000 - 5,800",1,400 - 700,توفيقية,,,,,,
P0021,توقيت كامة السحب متقدم (B2),بلف VVT (Intake),"2,800 - 5,500",1,500 - 800,توفيقية,,,,,,
P0503,إشارة حساس سرعة متقطعة,حساس سرعة (VSS),"1,100 - 2,400",1,400 - 600,توفيقية,,,,,,
C0037,عطل حساس ABS (خلفي أيمن),حساس ABS خلفي,"1,200 - 2,900",1,400 - 600,توفيقية,,,,,,
P0300,غيبوبة حريق عشوائية,بوجيهات / اسلاك / موبينة,"1,200 - 3,500",1.5,500 - 900,توفيقية,,,,,,
P2138,عدم توافق حساسات البدال,دواسة بنزين كاملة,"3,800 - 8,000",1,500 - 900,توفيقية,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,400 - 3,200",1.5,"600 - 1,000",توفيقية,,,,,,
P2181,أداء نظام التبريد,طلمبة مياه / رادياتير,"3,500 - 8,000",2.5,"1,200 - 2,200",توفيقية,,,,,,
P0231,جهد منخفض طلمبة البنزين,ريلاي / ضفيرة طلمبة,"400 - 1,000",1,300 - 600,توفيقية,,,,,,
P0731,غيار أول غير صحيح,عمرة فتيس / ميكانيكا,---,5.0+,"4,000+",توفيقية,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,400 - 3,200",0.5,300 - 500,توفيقية,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس دواسة بنزين,"3,500 - 7,500",1,500 - 900,توفيقية,,,,,,
P0443,عطل صمام تطهير EVAP,بلف كانستر,"1,400 - 3,200",0.8,400 - 700,توفيقية,,,,,,
P0030,دائرة سخان شكمان 1,حساس أوكسجين,"3,000 - 5,500",1,400 - 700,توفيقية,,,,,,
P0505,عطل نظام الأيدل,صمام الأيدل (IAC),"1,800 - 4,000",1,500 - 900,توفيقية,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"3,500 - 6,000",1,500 - 800,توفيقية,,,,,,
P0422,كفاءة المحفز الرئيسي,علبة بيئة,"9,500 - 24,000",2,"1,200 - 2,000",توفيقية,,,,,,
P0032,جهد مرتفع سخان شكمان,حساس أوكسجين,"3,200 - 5,800",1,400 - 700,توفيقية,,,,,,
P0560,عطل جهد النظام,فحص أرضي / بطارية,---,1,500 - 900,توفيقية,,,,,,
P0012,تأخر توقيت الكامة,زيت / صمام VVT,"1,800 - 4,800",1,500 - 800,توفيقية,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,600 - 3,800",1,500 - 900,توفيقية,,,,,,
P0051,جهد منخفض سخان (B2),حساس أوكسجين,"3,500 - 6,000",1,500 - 800,توفيقية,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"2,000 - 4,500",1.5,"700 - 1,200",توفيقية,,,,,,
P0036,دائرة سخان شكمان 2,حساس أوكسجين خلفي,"2,800 - 5,200",1,400 - 700,توفيقية,,,,,,
P0446,عطل تحكم تنفيس EVAP,بلف تنفيس,"1,600 - 3,500",1,500 - 800,توفيقية,,,,,,
P0016,توافق كرنك وكامة,طقم كاتينة,"6,500 - 16,000",4,"3,500 - 5,500",توفيقية,,,,,,
P0411,تدفق هواء ثانوي خطأ,طلمبة هواء,"5,000 - 10,000",2,"1,000 - 1,800",توفيقية,,,,,,
U0100,فقد الاتصال بالكنترول,فحص فيوزات / كنترول,---,2,"1,500 - 3,500",توفيقية,,,,,,
P011B,عدم توافق حساسات حرارة المياه,حساس حرارة / ثرموستات,"1,200 - 2,800",1.5,"600 - 1,000",توفيقية,,,,,,
P0327,انخفاض فولتية حساس الخبط,حساس Knock,"2,200 - 4,500",2,"800 - 1,500",توفيقية,,,,,,
P0841,مدى أداء حساس ضغط الزيت (فتيس),حساس ضغط زيت فتيس,"3,000 - 7,000",2,"1,000 - 2,000",توفيقية,,,,,,
P0300,غيبوبة حريق (Random Misfire),طقم بوجيهات / موبينات,"1,800 - 5,000",1,400 - 800,توفيقية,,,,,,
P1604,عطل في بدء التشغيل,فحص بطارية / مارش / وقود,---,1.5,"600 - 1,200",توفيقية,,,,,,
P0171,خليط فقير جداً (Bank 1),طلمبة بنزين / رشاشات,"3,500 - 7,500",1.5,"600 - 1,200",توفيقية,,,,,,
P0705,عطل حساس سلكتور الفتيس,حساس وضع الناقل,"3,000 - 7,000",1.5,"800 - 1,500",توفيقية,,,,,,
P0113,دخل مرتفع حساس حرارة الهواء,حساس IAT (دمج مع الماف),"2,500 - 5,500",0.5,300 - 500,توفيقية,,,,,,
P0340,عطل دائرة حساس الكامة,حساس كامة,"1,800 - 3,800",1,500 - 900,توفيقية,,,,,,
P2237,انقطاع تيار حساس الأوكسجين,حساس شكمان (Wideband),"4,000 - 7,500",1,500 - 900,توفيقية,,,,,,
P0128,حرارة المياه أقل من المطلوب,ثرموستات كوعة,"1,100 - 2,600",1.5,"600 - 1,100",توفيقية,,,,,,
P0741,أداء القابض (علق في حالة Off),بلف TCC / زيت فتيس,"4,000 - 8,500",3,"2,000 - 4,000",توفيقية,,,,,,
P0037,جهد منخفض سخان شكمان خلفي,حساس أوكسجين 2,"2,800 - 4,800",1,400 - 600,توفيقية,,,,,,
P0520,عطل حساس ضغط الزيت,حساس ضغط زيت المحرك,"900 - 2,500",1,400 - 600,توفيقية,,,,,,
P0016,عدم توافق الكرنك والكامة (A),طقم كاتينة,"6,500 - 18,000",4,"3,000 - 6,000",توفيقية,,,,,,
P0452,دخل منخفض حساس ضغط EVAP,حساس ضغط التانك,"2,200 - 4,500",1.5,"700 - 1,200",توفيقية,,,,,,
B1801,عطل في وسادة السائق (فتح),شريط إيرباج (Spiral),"1,800 - 4,500",1.5,"600 - 1,000",توفيقية,,,,,,
P0442,تسريب بسيط في الـ EVAP,فحص خراطيم صلبة,---,2,"800 - 1,500",توفيقية,,,,,,
C1252,عطل موتور مضخة الفرامل,موتور ABS / طلمبة,"15,000 - 35,000",3,"2,000 - 4,000",توفيقية,,,,,,
P0342,دخل منخفض حساس الكامة,حساس كامة,"1,800 - 3,500",1,500 - 800,توفيقية,,,,,,
P2110,نظام تحكم البوابة (RPM),تنظيف بوابة / برمجة,---,1,"600 - 1,200",توفيقية,,,,,,
P0305,ميس فاير (اسطوانة 5),بوجيه / موبينة,"1,800 - 4,000",0.5,300 - 500,توفيقية,,,,,,
P2187,خليط فقير عند الأيدل,صمام تبخير / بوابة,"1,800 - 4,500",1,"600 - 1,100",توفيقية,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين أمامي,"3,500 - 5,800",1,500 - 800,توفيقية,,,,,,
P0744,إشارة متقطعة دائرة TCC,ضفيرة فتيس / سولينويد,"3,000 - 6,500",2,"1,200 - 2,200",توفيقية,,,,,,
P0306,ميس فاير (اسطوانة 6),بوجيه / موبينة,"1,800 - 4,200",0.5,400 - 600,توفيقية,,,,,,
P0711,مدى أداء حساس حرارة الفتيس,حساس حرارة الزيت,"2,800 - 6,000",2,"1,000 - 1,800",توفيقية,,,,,,
P0190,عطل دائرة حساس مسطرة الوقود,حساس ضغط الوقود,"3,200 - 6,500",1,500 - 900,توفيقية,,,,,,
P0070,عطل حساس حرارة الجو,حساس حرارة خارجي,"600 - 1,500",0.5,250 - 500,توفيقية,,,,,,
P0500,عطل حساس السرعة (A),حساس VSS,"1,200 - 2,800",1,400 - 800,توفيقية,,,,,,
P0014,توقيت كامة العادم (متقدم),بلف VVT العادم,"2,800 - 5,500",1,500 - 900,توفيقية,,,,,,
P0562,انخفاض فولتية النظام,بطارية / دينامو,"4,800 - 14,000",1,300 - 600,توفيقية,,,,,,
U0121,فقد الاتصال بكنترول ABS,فحص ضفيرة ABS,---,2,"1,200 - 2,500",توفيقية,,,,,,
P0341,مدى حساس الكامة (A),حساس كامة,"1,800 - 4,000",1,500 - 900,توفيقية,,,,,,
P2279,تسريب هواء للمحرك,جوان مانيفولد / خرطوم هواء,"800 - 2,500",2,"1,000 - 2,000",توفيقية,,,,,,
P0231,جهد منخفض طلمبة الوقود,ريلاي / ضفيرة,"450 - 1,200",1,400 - 800,توفيقية,,,,,,
P2101,أداء موتور البوابة,بوابة هواء كهربائية,"5,500 - 12,000",1,"700 - 1,200",توفيقية,,,,,,
P0455,تسريب كبير (EVAP),خرطوم تانك مكسور,"1,200 - 3,000",1.5,"800 - 1,500",توفيقية,,,,,,
P0037,جهد منخفض سخان (1/2),حساس أوكسجين خلفي,"3,000 - 5,500",1,400 - 700,توفيقية,,,,,,
P0401,تدفق EGR غير كافٍ,تنظيف مسارات الصمام,---,2,"1,000 - 2,000",توفيقية,,,,,,
B1000,عطل كنترول الوسائد الداخلي,تغيير كنترول SRS,"8,000 - 20,000",2,"2,000 - 4,000",توفيقية,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,500 - 3,500",0.5,300 - 500,توفيقية,,,,,,
P2110,نظام تحكم بوابة (السرعة),برمجة / تنظيف بوابة,---,1,"600 - 1,200",توفيقية,,,,,,
P0342,انخفاض إشارة حساس الكامة,حساس كامة,"1,800 - 3,800",1,500 - 900,توفيقية,,,,,,
P2401,جهد منخفض مضخة EVAP,طلمبة كشف تسريب,"4,500 - 9,500",2,"1,000 - 2,000",توفيقية,,,,,,
P0304,ميس فاير اسطوانة 4,بوجيه / موبينة,"1,500 - 3,500",0.5,300 - 500,توفيقية,,,,,,
P2187,خليط فقير عند الخمول,بلف تبخير / بوابة,"2,000 - 4,800",1,"600 - 1,200",توفيقية,,,,,,
P0325,عطل حساس الخبط 1,حساس Knock,"2,400 - 5,000",2,"1,000 - 1,800",توفيقية,,,,,,
P2135,عدم توافق فولتية البوابة,بوابة كاملة,"7,000 - 13,000",1,"800 - 1,400",توفيقية,,,,,,
P0352,عطل موبينة اسطوانة 2,موبينة,"1,600 - 3,800",0.5,300 - 500,توفيقية,,,,,,
P2196,إشارة شكمان علقت (غني),حساس أوكسجين,"4,000 - 7,000",1,"600 - 1,200",توفيقية,,,,,,
P0117,دخل منخفض حساس الحرارة,حساس مياه,"650 - 1,500",0.5,300 - 600,توفيقية,,,,,,
B1318,انخفاض جهد البطارية (BCM),بطارية / وصلات أرضي,"4,500 - 12,000",0.5,200 - 400,توفيقية,,,,,,
P0522,انخفاض دخل حساس زيت المحرك,حساس ضغط زيت,"900 - 2,500",1,400 - 700,توفيقية,,,,,,
P1750,عطل هيدروليكي في الفتيس,صمام تحكم (Solenoid),"3,500 - 8,000",2.5,"1,500 - 3,000",توفيقية,,,,,,
P0463,دخل مرتفع حساس البنزين,عوامة تانك البنزين,"1,500 - 3,500",1.5,"600 - 1,100",توفيقية,,,,,,
P0717,لا توجد إشارة توربينة الفتيس,حساس سرعة دخل الفتيس,"2,500 - 5,500",1.5,"800 - 1,500",توفيقية,,,,,,
B1202,عطل حساس مستوى الوقود,عوامة بنزين,"1,400 - 3,200",1,500 - 900,توفيقية,,,,,,
P0341,مدى حساس الكامة,حساس كامة,"1,800 - 4,200",1,500 - 900,توفيقية,,,,,,
B10E7,عطل في مفتاح البصمة,زر Start/Stop,"1,200 - 3,500",1,"500 - 1,000",توفيقية,,,,,,
C1231,عطل في دائرة حساس الدركسيون,حساس زاوية التوجيه,"3,500 - 8,000",1.5,"800 - 1,500",توفيقية,,,,,,
P0420,كفاءة علبة البيئة منخفضة,علبة بيئة,"12,000 - 40,000",2,"1,000 - 2,500",توفيقية,,,,,,
P2110,نظام تحكم البوابة (السرعة),برمجة بوابة,---,1,"600 - 1,200",توفيقية,,,,,,
C1241,انخفاض فولتية ABS,بطارية / دينامو,"4,500 - 12,000",1,300 - 600,توفيقية,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,600 - 4,000",1.5,"800 - 1,400",توفيقية,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس بدال البنزين,"4,000 - 9,500",1,500 - 900,توفيقية,,,,,,
P0031,جهد منخفض سخان شكمان,حساس أوكسجين أمامي,"3,500 - 6,500",1,500 - 800,توفيقية,,,,,,
P0443,عطل صمام تطهير الكانستر,بلف تبخير,"1,600 - 3,500",1,500 - 900,توفيقية,,,,,,
B1000,عطل وحدة تحكم SRS,تغيير كنترول الإيرباج,"8,000 - 20,000",2,"2,000 - 4,000",توفيقية,,,,,,
P0037,جهد منخفض سخان شكمان 2,حساس أوكسجين خلفي,"3,000 - 5,500",1,400 - 700,توفيقية,,,,,,
P0505,عطل نظام التحكم بالخمول,صمام أيدل (IAC),"1,800 - 4,500",1,"600 - 1,000",توفيقية,,,,,,
B1231,عطل في ذاكرة التصادم,تصفير كنترول إيرباج,"1,500 - 4,000",2,"1,500 - 3,000",توفيقية,,,,,,
P0125,حرارة غير كافية للتحكم,ثرموستات كوعة,"1,200 - 3,000",1.5,"600 - 1,200",توفيقية,,,,,,
P0530,عطل حساس التكييف,حساس فريون,"1,200 - 3,500",1,"600 - 1,100",توفيقية,,,,,,
B1317,جهد مرتفع للبطارية,منظم دينامو,"1,800 - 4,500",1,500 - 900,توفيقية,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين أمامي,"3,500 - 6,500",1,500 - 800,توفيقية,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,5,"4,000+",توفيقية,,,,,,
B1869,لمبة ايرباج (دائرة مفتوحة),تغيير اللمبة / ضفيرة,"300 - 1,000",1.5,"500 - 1,200",توفيقية,,,,,,
P0325,عطل حساس الخبط,حساس Knock,"2,500 - 5,500",2,"1,000 - 2,000",توفيقية,,,,,,
P0740,عطل دائرة الكلاتش (TCC),سولينويد فتيس,"4,000 - 9,500",2.5,"1,500 - 3,000",توفيقية,,,,,,
P0090,عطل منظم ضغط الوقود 1,صمام SCV / منظم ضغط,"5,000 - 12,000",1.5,"800 - 1,500",توفيقية,,,,,,
P0706,عطل نطاق حساس الفتيس (TR),سلكتور (Multi-switch),"4,500 - 9,500",2,"1,000 - 2,000",توفيقية,,,,,,
P0500,عطل حساس السرعة (كيلومتر),حساس VSS,"1,400 - 3,200",1,400 - 800,توفيقية,,,,,,
P0441,تدفق تطهير غير صحيح,صمام كانستر,"1,800 - 3,800",1,500 - 900,توفيقية,,,,,,
P0562,جهد النظام منخفض,بطارية / دينامو,"4,500 - 13,000",1,400 - 700,توفيقية,,,,,,
C1241,جهد منخفض غير طبيعي (ABS),فحص دينامو / بطارية,---,1,400 - 800,توفيقية,,,,,,
P0300,ميس فاير عشوائي,بوجيهات / موبينات,"2,200 - 5,500",1,"500 - 1,000",توفيقية,,,,,,
P2138,عدم توافق حساسات البدال,دواسة بنزين كاملة,"4,500 - 9,500",1,"600 - 1,000",توفيقية,,,,,,
